,date_time,gm_open,gm_close,johnson_open,johnson_close,jacobs_open,jacobs_close,albemarle_open,albemarle_close,disney_open,disney_close,att_open,att_close,aa_open,aa_close
111,2020-02-16,35.3,34.76,150.56,150.13,99.5,100.66,88.54,89.64,141.1,139.54,38.28,38.25,30.01,29.2
112,2020-02-17,35.3,34.76,150.56,150.13,99.5,100.66,88.54,89.64,141.1,139.54,38.28,38.25,30.01,29.2
113,2020-02-18,34.25,34.41,150.47,149.14,100.0,100.56,88.79,88.7,139.02,139.14,38.18,38.26,29.04,28.63
114,2020-02-19,34.53,34.92,149.21,148.94,101.05,101.46,89.0,89.34,139.63,141.3,38.24,38.44,28.84,28.33
115,2020-02-20,34.66,35.29,148.61,148.37,102.0,102.03,89.0,94.31,141.63,140.37,38.4,38.61,28.24,28.51
116,2020-02-21,34.99,34.65,148.09,149.93,101.6,103.86,92.15,92.43,139.86,138.97,38.52,38.55,28.12,27.82
117,2020-02-22,34.99,34.65,148.09,149.93,101.6,103.86,92.15,92.43,139.86,138.97,38.52,38.55,28.12,27.82
118,2020-02-23,34.99,34.65,148.09,149.93,101.6,103.86,92.15,92.43,139.86,138.97,38.52,38.55,28.12,27.82
119,2020-02-24,33.64,33.09,146.5,145.91,101.44,101.95,87.87,89.61,132.9,133.01,37.99,38.05,25.98,25.45
120,2020-02-25,33.25,31.75,145.99,144.65,101.85,98.71,90.39,85.83,133.75,128.19,38.11,37.35,25.62,23.12
121,2020-02-26,32.1,32.0,145.35,143.68,99.39,99.83,85.19,85.65,126.12,123.36,37.19,37.1,23.57,22.31
122,2020-02-27,31.3,30.71,142.56,139.12,98.57,93.32,83.11,80.8,119.81,118.04,36.58,35.73,20.85,20.6
123,2020-02-28,29.78,30.5,135.36,134.48,90.89,92.34,78.11,81.85,114.51,117.65,34.0,35.22,19.8,19.05
124,2020-02-29,29.78,30.5,135.36,134.48,90.89,92.34,78.11,81.85,114.51,117.65,34.0,35.22,19.8,19.05
125,2020-03-01,29.78,30.5,135.36,134.48,90.89,92.34,78.11,81.85,114.51,117.65,34.0,35.22,19.8,19.05
126,2020-03-02,30.52,31.42,134.78,140.02,92.57,96.89,82.49,84.3,119.13,119.98,35.37,37.18,19.05,18.86
127,2020-03-03,31.5,30.52,140.0,135.59,96.9,97.6,83.71,82.79,121.15,116.45,37.26,36.3,19.66,17.85
128,2020-03-04,31.0,31.53,137.68,143.48,98.24,101.29,85.06,86.27,118.96,119.18,37.02,38.18,18.36,18.53
129,2020-03-05,30.54,30.1,140.8,142.01,99.23,97.26,83.83,84.77,116.86,113.98,37.4,37.18,17.54,16.04
130,2020-03-06,29.21,28.69,138.48,142.03,94.5,94.07,82.36,82.6,110.76,115.27,36.71,37.03,15.02,15.97
131,2020-03-07,29.21,28.69,138.48,142.03,94.5,94.07,82.36,82.6,110.76,115.27,36.71,37.03,15.02,15.97
132,2020-03-08,29.21,28.69,138.48,142.03,94.5,94.07,82.36,82.6,110.76,115.27,36.71,37.03,15.02,15.97
133,2020-03-09,26.0,24.69,136.33,136.44,87.69,88.94,75.5,72.96,108.69,104.35,35.01,34.69,14.87,14.75
134,2020-03-10,25.98,27.12,139.97,141.64,91.05,92.28,77.11,75.19,108.1,111.46,35.51,35.85,15.82,17.0
135,2020-03-11,26.0,26.0,138.09,131.8,90.08,88.0,73.38,70.07,108.42,105.51,34.85,34.52,16.31,16.26
136,2020-03-12,23.6,23.04,127.31,125.41,77.45,79.12,63.97,64.79,97.62,91.81,31.86,31.33,14.05,13.45
137,2020-03-13,24.6,24.71,129.32,134.29,82.46,86.76,69.46,68.01,100.78,102.52,32.92,34.47,15.3,14.31
138,2020-03-14,24.6,24.71,129.32,134.29,82.46,86.76,69.46,68.01,100.78,102.52,32.92,34.47,15.3,14.31
139,2020-03-15,24.6,24.71,129.32,134.29,82.46,86.76,69.46,68.01,100.78,102.52,32.92,34.47,15.3,14.31
140,2020-03-16,21.51,21.0,123.57,127.13,79.05,78.87,61.34,58.96,91.8,95.01,31.0,31.81,12.41,15.92
141,2020-03-17,21.31,20.32,128.55,136.59,79.69,80.59,60.29,67.06,95.8,93.53,32.12,33.74,15.79,15.58
142,2020-03-18,18.83,16.8,131.02,134.96,76.04,79.43,62.41,68.64,87.59,88.8,32.0,32.85,14.24,11.65
143,2020-03-19,16.34,17.71,134.99,127.05,76.1,74.69,66.55,61.94,88.0,94.93,31.36,31.15,11.6,10.29
144,2020-03-20,18.42,18.14,126.83,119.89,74.7,65.65,62.68,53.45,95.99,85.98,30.46,28.45,10.65,10.38
145,2020-03-21,18.42,18.14,126.83,119.89,74.7,65.65,62.68,53.45,95.99,85.98,30.46,28.45,10.65,10.38
146,2020-03-22,18.42,18.14,126.83,119.89,74.7,65.65,62.68,53.45,95.99,85.98,30.46,28.45,10.65,10.38
147,2020-03-23,18.01,17.6,117.0,111.14,64.81,63.01,52.38,50.9,84.49,85.76,27.39,26.77,10.9,10.25
148,2020-03-24,19.32,21.11,118.76,119.18,65.85,69.49,53.89,56.03,92.33,98.12,28.0,28.09,11.96,13.92
149,2020-03-25,23.0,21.49,118.91,119.4,69.41,73.25,56.39,60.02,100.66,100.73,28.08,28.4,16.69,15.39
150,2020-03-26,21.64,22.56,120.57,126.57,74.19,79.82,60.0,60.46,100.83,105.36,28.68,30.6,16.06,15.66
151,2020-03-27,21.37,21.38,121.65,123.16,77.96,74.88,58.0,55.02,100.45,96.4,29.69,29.84,14.98,14.04
152,2020-03-28,21.37,21.38,121.65,123.16,77.96,74.88,58.0,55.02,100.45,96.4,29.69,29.84,14.98,14.04
153,2020-03-29,21.37,21.38,121.65,123.16,77.96,74.88,58.0,55.02,100.45,96.4,29.69,29.84,14.98,14.04
154,2020-03-30,22.31,21.32,128.46,133.01,75.1,77.99,55.61,55.6,96.0,99.8,29.9,30.23,13.2,12.25
155,2020-03-31,20.97,20.78,134.99,131.13,77.85,79.27,55.52,56.37,100.22,96.6,30.04,29.15,12.9,12.19
156,2020-04-01,19.5,19.26,127.7,128.81,75.6,79.22,54.26,54.84,93.5,94.92,28.38,28.05,11.45,10.69
157,2020-04-02,19.1,18.19,129.12,133.15,78.12,81.18,54.88,53.66,94.2,96.97,28.0,28.76,10.61,10.06
158,2020-04-03,18.4,18.04,132.38,134.17,80.28,78.97,53.63,52.7,96.31,93.88,28.53,27.46,10.34,9.39
159,2020-04-04,18.4,18.04,132.38,134.17,80.28,78.97,53.63,52.7,96.31,93.88,28.53,27.46,10.34,9.39
160,2020-04-05,18.4,18.04,132.38,134.17,80.28,78.97,53.63,52.7,96.31,93.88,28.53,27.46,10.34,9.39
161,2020-04-06,19.1,19.55,137.01,139.76,81.59,83.42,55.13,56.93,97.26,99.58,28.4,29.44,9.72,9.5
162,2020-04-07,21.27,21.3,139.86,137.48,85.88,81.88,58.31,57.0,104.86,101.24,30.44,30.08,11.07,10.22
163,2020-04-08,21.74,23.13,137.75,143.26,83.08,80.94,57.61,61.82,100.53,101.07,29.95,29.89,10.91,11.33
164,2020-04-09,24.16,24.06,144.01,141.23,81.87,81.31,62.35,67.02,107.92,104.5,30.0,30.73,12.64,12.51
165,2020-04-10,24.16,24.06,144.01,141.23,81.87,81.31,62.35,67.02,107.92,104.5,30.0,30.73,12.64,12.51
